elapsed_week,mean_H,std_H,valid_replications,total_replications,mean_completed_count,mean_unscheduled_count,mean_raw_H,dropped_replications
1,0.8901421727685491,0.41395521028977106,20,20,38.65,21.05,0.8901421727685491,0
2,0.9619561942407817,0.37069998251154707,20,20,37.4,23.75,0.9619561942407817,0
3,1.108882198071823,0.7039619869227403,20,20,36.8,23.7,1.108882198071823,0
4,1.2411187078591948,0.4115495419757581,20,20,33.4,25.45,1.2411187078591948,0
5,1.3885882282937643,0.3934534495852481,20,20,32.2,27.75,1.3885882282937643,0
6,1.4576022657746799,0.758847674005319,20,20,28.45,29.8,1.4576022657746799,0
7,1.256021883289498,0.4775241576556232,20,20,31.0,29.9,1.256021883289498,0
8,1.4399834082446148,0.46874121634964677,20,20,28.9,31.8,1.4399834082446148,0
9,1.5160004170591976,0.5738672215280526,20,20,27.15,31.4,1.5160004170591976,0
10,1.7100133375835802,0.5813485355418807,20,20,26.25,33.5,1.7100133375835802,0
11,1.572096417362853,0.588483266397262,20,20,22.0,31.45,1.572096417362853,0
12,1.458801965536132,0.48669504350594234,20,20,23.4,28.35,1.458801965536132,0
13,1.7281120160380898,0.6499629411643008,20,20,20.0,29.15,1.7281120160380898,0
14,1.7088591019396742,0.8225074001893997,20,20,20.7,31.35,1.7088591019396742,0
15,1.4196327213365376,0.4473687628487784,20,20,20.1,32.9,1.4196327213365376,0
16,1.8378920775898315,0.7858602188390907,20,20,20.9,33.65,1.8378920775898315,0
17,1.6360090067557327,0.650965896019691,20,20,20.95,35.75,1.6360090067557327,0
18,1.8839612339371143,0.892924152129242,20,20,20.6,35.6,1.8839612339371143,0
19,1.9380777663062112,1.0067343863411746,20,20,19.2,34.0,1.9380777663062112,0
20,1.9887531347359595,0.9515064014313084,20,20,17.65,31.3,1.9887531347359595,0
21,1.9280815426651041,0.8710838452991692,20,20,18.05,33.35,1.9280815426651041,0
22,2.0803996781207115,1.0713124835710206,20,20,18.0,35.85,2.0803996781207115,0
23,2.014013102048466,1.0522682959554002,20,20,19.1,36.15,2.014013102048466,0
24,1.921201973526421,0.8023237046091952,20,20,19.2,37.9,1.921201973526421,0
25,1.8251425775800787,0.48918894985077255,20,20,18.25,35.15,1.8251425775800787,0
26,1.8471627038178564,0.8879433365177446,20,20,17.45,35.85,1.8471627038178564,0
27,1.7282298593086214,0.7549847213887063,20,20,16.0,36.35,1.7282298593086214,0
28,2.072659096670926,0.7745281723717798,20,20,16.45,40.0,2.072659096670926,0
29,1.8387765617032144,0.6461075282148918,20,20,17.65,38.7,1.8387765617032144,0
30,1.8168560088295653,0.6052369360456775,20,20,17.5,40.55,1.8168560088295653,0
31,1.7117199656901132,0.6084733823512088,20,20,20.65,35.15,1.7117199656901132,0
32,1.8647886859450389,0.7913990077492715,20,20,17.8,36.15,1.8647886859450389,0
33,1.950935964284524,0.893929229213639,20,20,18.4,36.85,1.950935964284524,0
34,1.9879609116583083,1.0915438482439062,20,20,18.15,34.8,1.9879609116583083,0
35,1.6835892325099049,0.664825993756236,20,20,18.1,34.4,1.6835892325099049,0
36,1.6628204472774875,0.7625461020909708,20,20,18.0,32.6,1.6628204472774875,0
37,1.796232535637761,0.7255656500440715,20,20,15.95,33.2,1.796232535637761,0
38,1.9437649540352797,0.9435923519531059,20,20,16.1,32.6,1.9437649540352797,0
39,1.804092088138561,0.833719269407459,20,20,17.7,36.7,1.804092088138561,0
40,2.010932339482863,1.173831458140937,20,20,18.0,39.2,2.010932339482863,0
41,1.8345783605111798,0.5969665086021579,20,20,18.6,38.8,1.8345783605111798,0
42,1.8737370777331883,0.5961294596969761,20,20,17.9,38.55,1.8737370777331883,0
43,2.07959975718641,1.0912238971093837,20,20,15.85,37.15,2.07959975718641,0
44,1.9283151651509567,0.7949006835187848,20,20,15.6,36.7,1.9283151651509567,0
45,1.9491019424102478,0.758505548965777,20,20,16.3,39.2,1.9491019424102478,0
