kn_rank,system,policy,mean_H_final
1,6371,R1_1188c5e3_SubsetKN,0.001516316955962731
2,3391,R1_1586e93c_SubsetKN,0.0016066949205409188
3,1690,R1_effc06e5_SubsetKN,0.025983479290781868
4,6372,R1_a01314df_SubsetKN,0.028346381401230535
5,1687,R1_05ddbae0_SubsetKN,0.030919773342622227
6,1611,R1_f84c2d17_SubsetKN,0.05769115923077932
7,3885,R1_8507b10e_SubsetKN,0.19872300913830318
8,1780,R1_19970236_SubsetKN,0.3900255484258469
9,1610,R1_c5d534fd_SubsetKN,0.9517424775764708
10,1771,R1_a837d498_SubsetKN,0.9605965975449479
